Dataset,Method,Time(s),Matches
density_pattern_len64_pattern.txt vs density_case_075_d6.14e-03_text.txt,CUDA,0.602887,9588
density_pattern_len64_pattern.txt vs density_case_076_d6.89e-03_text.txt,Sequential,0.339052,10770
density_pattern_len64_pattern.txt vs density_case_076_d6.89e-03_text.txt,MPI (4),0.079126,10770
density_pattern_len64_pattern.txt vs density_case_076_d6.89e-03_text.txt,CUDA,0.610071,10770
density_pattern_len64_pattern.txt vs density_case_077_d7.74e-03_text.txt,Sequential,0.339218,12098
density_pattern_len64_pattern.txt vs density_case_077_d7.74e-03_text.txt,MPI (4),0.083935,12098
density_pattern_len64_pattern.txt vs density_case_077_d7.74e-03_text.txt,CUDA,0.606585,12098
density_pattern_len64_pattern.txt vs density_case_078_d8.70e-03_text.txt,Sequential,0.336843,13590
density_pattern_len64_pattern.txt vs density_case_078_d8.70e-03_text.txt,MPI (4),0.079708,13590
density_pattern_len64_pattern.txt vs density_case_078_d8.70e-03_text.txt,CUDA,0.619978,13590
density_pattern_len64_pattern.txt vs density_case_079_d9.77e-03_text.txt,Sequential,0.337674,15266
density_pattern_len64_pattern.txt vs density_case_079_d9.77e-03_text.txt,MPI (4),0.080049,15266
density_pattern_len64_pattern.txt vs density_case_079_d9.77e-03_text.txt,CUDA,0.611734,15266
density_pattern_len64_pattern.txt vs density_case_080_d1.10e-02_text.txt,Sequential,0.336646,17149
density_pattern_len64_pattern.txt vs density_case_080_d1.10e-02_text.txt,MPI (4),0.079737,17149
density_pattern_len64_pattern.txt vs density_case_080_d1.10e-02_text.txt,CUDA,0.612331,17149
density_pattern_len64_pattern.txt vs density_case_081_d1.23e-02_text.txt,Sequential,0.337332,19264
density_pattern_len64_pattern.txt vs density_case_081_d1.23e-02_text.txt,MPI (4),0.079725,19264
density_pattern_len64_pattern.txt vs density_case_081_d1.23e-02_text.txt,CUDA,0.610925,19264
density_pattern_len64_pattern.txt vs density_case_082_d1.38e-02_text.txt,Sequential,0.336432,21639
density_pattern_len64_pattern.txt vs density_case_082_d1.38e-02_text.txt,MPI (4),0.079975,21639
density_pattern_len64_pattern.txt vs density_case_082_d1.38e-02_text.txt,CUDA,0.610728,21639
density_pattern_len64_pattern.txt vs density_case_083_d1.56e-02_text.txt,Sequential,0.336778,24308
density_pattern_len64_pattern.txt vs density_case_083_d1.56e-02_text.txt,MPI (4),0.08119,24308
density_pattern_len64_pattern.txt vs density_case_083_d1.56e-02_text.txt,CUDA,0.61088,24308
density_pattern_len64_pattern.txt vs density_case_084_d1.75e-02_text.txt,Sequential,0.334819,27306
density_pattern_len64_pattern.txt vs density_case_084_d1.75e-02_text.txt,MPI (4),0.07934,27306
density_pattern_len64_pattern.txt vs density_case_084_d1.75e-02_text.txt,CUDA,0.610347,27306
density_pattern_len64_pattern.txt vs density_case_085_d1.96e-02_text.txt,Sequential,0.335718,30673
density_pattern_len64_pattern.txt vs density_case_085_d1.96e-02_text.txt,MPI (4),0.079871,30673
density_pattern_len64_pattern.txt vs density_case_085_d1.96e-02_text.txt,CUDA,0.61032,30673
density_pattern_len64_pattern.txt vs density_case_086_d2.21e-02_text.txt,Sequential,0.335431,34456
density_pattern_len64_pattern.txt vs density_case_086_d2.21e-02_text.txt,MPI (4),0.079597,34456
density_pattern_len64_pattern.txt vs density_case_086_d2.21e-02_text.txt,CUDA,0.61144,34456
density_pattern_len64_pattern.txt vs density_case_087_d2.48e-02_text.txt,Sequential,0.33439,38705
density_pattern_len64_pattern.txt vs density_case_087_d2.48e-02_text.txt,MPI (4),0.079622,38705
density_pattern_len64_pattern.txt vs density_case_087_d2.48e-02_text.txt,CUDA,0.61367,38705
density_pattern_len64_pattern.txt vs density_case_088_d2.78e-02_text.txt,Sequential,0.334142,43478
density_pattern_len64_pattern.txt vs density_case_088_d2.78e-02_text.txt,MPI (4),0.079562,43478
density_pattern_len64_pattern.txt vs density_case_088_d2.78e-02_text.txt,CUDA,0.609873,43478
density_pattern_len64_pattern.txt vs density_case_089_d3.13e-02_text.txt,Sequential,0.332789,48840
density_pattern_len64_pattern.txt vs density_case_089_d3.13e-02_text.txt,MPI (4),0.079635,48840
density_pattern_len64_pattern.txt vs density_case_089_d3.13e-02_text.txt,CUDA,0.610029,48840
density_pattern_len64_pattern.txt vs density_case_090_d3.51e-02_text.txt,Sequential,0.332337,54863
density_pattern_len64_pattern.txt vs density_case_090_d3.51e-02_text.txt,MPI (4),0.079545,54863
density_pattern_len64_pattern.txt vs density_case_090_d3.51e-02_text.txt,CUDA,0.613613,54863
density_pattern_len64_pattern.txt vs density_case_091_d3.94e-02_text.txt,Sequential,0.33299,61629
density_pattern_len64_pattern.txt vs density_case_091_d3.94e-02_text.txt,MPI (4),0.079256,61629
density_pattern_len64_pattern.txt vs density_case_091_d3.94e-02_text.txt,CUDA,0.617672,61629
density_pattern_len64_pattern.txt vs density_case_092_d4.43e-02_text.txt,Sequential,0.331304,69229
density_pattern_len64_pattern.txt vs density_case_092_d4.43e-02_text.txt,MPI (4),0.08431,69229
density_pattern_len64_pattern.txt vs density_case_092_d4.43e-02_text.txt,CUDA,0.622512,69229
density_pattern_len64_pattern.txt vs density_case_093_d4.98e-02_text.txt,Sequential,0.331906,77766
density_pattern_len64_pattern.txt vs density_case_093_d4.98e-02_text.txt,MPI (4),0.079593,77766
density_pattern_len64_pattern.txt vs density_case_093_d4.98e-02_text.txt,CUDA,0.61205,77766
density_pattern_len64_pattern.txt vs density_case_094_d5.59e-02_text.txt,Sequential,0.330144,87357
density_pattern_len64_pattern.txt vs density_case_094_d5.59e-02_text.txt,MPI (4),0.079579,87357
density_pattern_len64_pattern.txt vs density_case_094_d5.59e-02_text.txt,CUDA,0.61174,87357
